evento_id,videos,c_w,v_w,b_w,d_w,c_s,v_s,b_s,d_s,rd_b
PLTR_2025-08-04,5,1.0,0.0,0.6931471805599453,0.0,2.0,0.0,1.0986122886681098,0.0,0.5908188619992638
INTC_2025-08-07,2,2.0,0.0,1.0986122886681098,0.0,2.0,0.0,1.0986122886681098,0.0,0.9529722985087601
NVDA_2025-08-27,4,1.0,0.0,0.6931471805599453,0.0,2.0,0.0,1.0986122886681098,0.0,0.6639644138028855
GOOG_2025-09-02,3,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.7572191439758789
GOOGL_2025-09-02,14,8.0,0.0,2.1972245773362196,0.0,8.0,0.0,2.1972245773362196,0.0,1.78588286073907
AAPL_2025-09-09,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.4782244623905927
GME_2025-09-09,1,0.0,0.0,0.0,,0.0,0.0,0.0,,2.1561473738166392
HOOD_2025-09-10,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.9994056385846617
RDDT_2025-09-10,3,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.9097523867506935
NFLX_2025-09-11,3,0.0,1.0,-0.6931471805599453,0.0,0.0,1.0,-0.6931471805599453,0.0,0.55775877718821
TSLA_2025-09-12,14,7.0,0.0,2.0794415416798357,0.0,8.0,0.0,2.1972245773362196,0.0,0.2768553390437509
AMD_2025-10-06,5,4.0,0.0,1.6094379124341003,0.0,4.0,0.0,1.6094379124341003,0.0,0.9178447337408893
BYND_2025-10-14,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.361527163409216
GOOG_2025-10-21,7,2.0,0.0,1.0986122886681098,0.0,2.0,0.0,1.0986122886681098,0.0,1.8325814637483102
NOK_2025-10-23,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.8533173622274883
MSFT_2025-10-28,6,1.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,,0.7299219079849663
NVDA_2025-10-28,32,12.0,3.0,1.1786549963416462,0.4,12.0,4.0,0.9555114450274363,0.5,0.73609780595845
GOOGL_2025-10-29,4,1.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,,1.6166843209548676
META_2025-10-29,2,1.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,,0.8899624495596677
MSTR_2025-10-30,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.3001425006745319
PLTR_2025-11-03,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.22875628821916713
INTC_2025-11-28,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.2656663733312759
NFLX_2025-12-05,4,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.690912542758529
TLRY_2025-12-12,1,1.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,,1.4839328306838067
TSLA_2025-12-15,6,3.0,0.0,1.3862943611198906,0.0,3.0,0.0,1.3862943611198906,0.0,0.3210555812682875
AAPL_2026-01-06,7,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.5172981382716082
INTC_2026-01-07,1,0.0,0.0,0.0,,1.0,0.0,0.6931471805599453,0.0,0.5504554185367584
META_2026-01-12,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.9045554756557341
NFLX_2026-01-20,2,0.0,1.0,-0.6931471805599453,0.0,0.0,1.0,-0.6931471805599453,0.0,0.767579775342715
MSFT_2026-01-21,8,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5309390728429186
TSLA_2026-01-28,5,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.10339186203496517
HOOD_2026-02-02,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.8111303963791432
GOOG_2026-02-03,1,0.0,0.0,0.0,,0.0,1.0,-0.6931471805599453,0.0,1.502704712964302
WMT_2026-02-03,4,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.7805208107685337
GOOGL_2026-02-04,4,0.0,0.0,0.0,,0.0,1.0,-0.6931471805599453,0.0,0.9784225129811612
COIN_2026-02-05,3,2.0,0.0,1.0986122886681098,0.0,1.0,0.0,0.6931471805599453,0.0,0.19706383853115803
NVDA_2026-02-25,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.4077213540290486
GME_2026-03-24,1,0.0,0.0,0.0,,1.0,0.0,0.6931471805599453,0.0,1.6984587633308612
INTC_2026-03-31,6,2.0,1.0,0.4054651081081644,0.6666666666666667,2.0,0.0,1.0986122886681098,0.0,0.7314343194770123
TSLA_2026-04-02,5,1.0,0.0,0.6931471805599453,0.0,2.0,0.0,1.0986122886681098,0.0,0.146220970976917
PLTR_2026-04-08,3,3.0,0.0,1.3862943611198906,0.0,3.0,0.0,1.3862943611198906,0.0,0.3776558294097364
AMZN_2026-04-09,11,5.0,0.0,1.791759469228055,0.0,5.0,0.0,1.791759469228055,0.0,1.1351332012889743
HOOD_2026-04-15,3,0.0,0.0,0.0,,1.0,0.0,0.6931471805599453,0.0,1.0265680501755203
AAPL_2026-04-20,7,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.8459099351123555
NVDA_2026-04-24,22,12.0,1.0,1.8718021769015913,0.15384615384615385,12.0,0.0,2.5649493574615367,0.0,0.9026580299713031
GOOGL_2026-04-27,10,4.0,0.0,1.6094379124341003,0.0,4.0,0.0,1.6094379124341003,0.0,1.270462545594769
GOOG_2026-04-29,4,1.0,0.0,0.6931471805599453,0.0,2.0,0.0,1.0986122886681098,0.0,1.6490906843540942
GME_2026-05-01,5,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.3124769880867297
AMD_2026-05-05,1,0.0,1.0,-0.6931471805599453,0.0,0.0,1.0,-0.6931471805599453,0.0,0.8151111738913023
TSLA_2026-06-12,1,0.0,0.0,0.0,,1.0,0.0,0.6931471805599453,0.0,-0.07909258883721608
NFLX_2026-06-16,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.6726686492164047
MSFT_2026-06-18,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.46035384660256723
GOOGL_2026-06-22,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.8883168798317489
