ticker,date,close_prev,close,ret,s,fuente,factor_implicito
HUBC,2023-12-15,0.204,2.3,0.127451,9.99999982608696,crsp,0.1
HUBC,2025-03-31,0.3773,2.87,-0.239332,9.999998731707477,crsp_v2,0.1
HUBC,2026-01-02,0.388,6165.0,0.0592783505154639,14999.999999999998,yahoo,0.0
HUYA,2025-07-01,3.52,2.32,0.076705,0.6121369447442977,crsp_v2,1.634
HYMC,2023-11-15,0.1758,2.18,0.240046,9.99999601835021,crsp,0.1
IBIO,2022-10-10,0.1431,3.035,-0.151642,24.99999386326345,crsp,0.04
IBIO,2023-11-29,0.2,3.91,-0.0225,20.0,crsp,0.05
IBKR,2025-06-18,208.17,52.6,0.010712,0.25000009857418337,crsp_v2,4.0
ICU,2024-06-10,0.2194,4.21,-0.232452,24.999995368171877,crsp,0.04
IDEX,2023-08-25,0.0346,4.3,-0.005778,124.99970494255693,crsp,0.008
IMCC,2022-11-17,0.3401,2.73,-0.197297,10.000025996404577,crsp,0.1
IMCC,2024-07-12,0.369,2.47,0.115628,5.99999904777343,crsp,0.167
INO,2024-01-25,0.5775,6.79,-0.020202,11.999999752577326,crsp,0.083
ISIG,2021-01-04,0.8399,7.31,0.243345,7.000001667647456,crsp,0.143
ISPC,2024-09-16,0.1928,4.47,0.159233,19.999989046985863,crsp,0.05
IVR,2022-06-06,1.75,16.75,-0.042857,9.99999850746291,crsp,0.1
IXHL,2026-01-02,0.358,11.699999809265137,0.089385480317103,29.999999360665264,yahoo,0.033
IZEA,2023-06-16,0.685,3.0,0.094891,3.999998213334131,crsp,0.25
JAGX,2021-09-08,0.96,2.63,-0.086806,3.000001460076756,crsp,0.333
JAGX,2023-01-23,0.0847,5.43,-0.145219,75.00005107047677,crsp,0.013
JAGX,2024-05-23,0.1281,5.13,-0.332551,59.99984778985982,crsp,0.017
JAGX,2025-03-24,0.231,6.04,0.045887,25.000010658117127,crsp_v2,0.04
JCS,2021-10-18,8.44,5.12,0.021327,0.5939675256700816,crsp,1.684
JCS,2022-03-21,2.1,8.14,-0.030952,3.9999984275190457,crsp,0.25
KPLT,2023-07-28,0.76,19.09,0.004737,24.999996071242105,crsp,0.04
KTOV,2020-08-21,0.5086,4.77,-0.062131,9.999996364781195,crsp,0.1
KTRA,2022-11-14,0.0841,4.4899,0.067752,50.00003162655957,crsp,0.02
KULR,2025-06-23,0.8653,6.69,-0.033572,7.999998580329103,crsp_v2,0.125
LAZR,2024-11-21,0.7594,10.86,-0.046615,14.999988211335232,crsp,0.067
LCID,2025-09-02,1.98,17.66,-0.108081,10.000002151755842,crsp_v2,0.1
LGVN,2023-08-18,2.7828,2.79,0.721288,0.582463435591025,crsp,1.717
LGVN,2024-03-27,0.3437,3.11,-0.095141,9.999998768488897,crsp,0.1
LIDR,2023-12-27,0.074,2.65,0.193693,30.000017433972396,crsp,0.033
LODE,2025-02-25,0.2888,3.05,0.056094,10.00000173114784,crsp_v2,0.1
LPSN,2025-10-13,0.4069,5.78,-0.053002,14.999994049310322,crsp_v2,0.067
MARK,2022-12-22,0.1314,1.21,-0.079147,9.999993041327157,crsp,0.1
MAXN,2024-10-09,0.0711,6.33,-0.109705,100.00004028437642,crsp,0.01
MEGL,2025-02-18,0.476101,1.87,-0.018066,4.000002059175392,crsp_v2,0.25
META,2022-06-09,12.31,184.0,-0.06428,15.974006540938964,crsp,0.063
METX,2022-05-06,0.0905,1.95,-0.281769,30.00004361544802,crsp,0.033
METX,2023-08-24,0.169,2.42,-0.284023,19.99998132233149,crsp,0.05
MFA,2022-04-05,3.93,15.51,-0.013359,4.000000897485695,crsp,0.25
MITT,2021-07-23,3.69,10.78,-0.026197,3.000000219851593,crsp,0.333
MMAT,2024-01-29,0.0582,5.51,-0.053266,100.00014736863822,crsp,0.01
MNMD,2022-08-29,0.791,12.01,0.012222,14.999982477122884,crsp,0.067
MOBX,2026-01-02,0.2673,2.700000047683716,0.0112359440196763,9.988776940867735,yahoo,0.1
MOVE,2024-10-29,0.2656,4.42,0.109439,14.99998311314118,crsp,0.067
MOVE,2025-10-10,0.649,6.57,0.012327,9.999996605785018,crsp_v2,0.1
MRIN,2024-04-15,0.4911,2.68,-0.090477,5.99999894373153,crsp,0.167
MSAI,2026-01-02,0.288,12.359999656677246,0.0729165942304692,40.0000015894572,yahoo,0.025
MSTR,2024-08-08,1246.84998,135.99001,0.090669,0.09999996170039104,crsp,10.0
MULN,2023-05-04,0.0639,1.47,-0.079812,24.99999438775636,crsp,0.04
MULN,2023-08-11,0.113,1.01,-0.006883,9.000000098019802,crsp,0.111
MULN,2023-12-21,0.08,14.25,0.781248,100.0001122808278,crsp,0.01
MULN,2024-09-17,0.1184,10.45,-0.1174,100.00015311028226,crsp,0.01
NAKD,2021-12-22,0.4818,6.25,-0.135187,14.999991477604842,crsp,0.067
NBRV,2020-12-03,0.3938,3.77,-0.042661,9.999997395226142,crsp,0.1
NBRV,2022-09-16,0.2671,3.82,-0.427929,24.999973151206845,crsp,0.04
NCNA,2024-04-16,0.178,3.9,-0.123595,24.9999855769314,crsp,0.04
NCNA,2025-08-11,0.0322,4.47,-0.305901,200.00010917231907,crsp_v2,0.005
NEGG,2025-04-07,0.2427,5.265,0.084672,20.00000802279524,crsp_v2,0.05
NERV,2022-06-21,0.3951,2.85,-0.09833,8.000004109475796,crsp,0.125
NFLX,2025-11-17,1112.17,110.29,-0.008335,0.09999999428325355,crsp_v2,10.0
NKLA,2024-06-25,0.3507,9.37,-0.109401,30.000025360747152,crsp,0.033
NOG,2020-09-21,0.54,5.9,0.092593,9.999996271187833,crsp,0.1
NOVN,2021-05-26,0.835,9.19,0.100599,9.99999820457051,crsp,0.1
NVDA,2021-07-20,751.19,186.12,-0.008933,0.2500001276965782,crsp,4.0
NVDA,2024-06-10,1208.88,121.79,0.007461,0.1000000448575618,crsp,10.0
NVNI,2025-10-06,0.3131,3.14,0.002874,10.000004796180644,crsp_v2,0.1
NVO,2023-09-20,187.05,94.73,0.012884,0.5000001261480315,crsp,2.0
NVOS,2023-11-07,0.1207,1.5,0.242751,9.99999695333426,crsp,0.1
NXTD,2021-10-18,0.3956,3.13,-0.208797,10.000002977636669,crsp,0.1
NYC,2023-01-12,1.71,15.66,0.144737,7.999998896551876,crsp,0.125
NYCB,2024-07-12,3.68,11.01,-0.002717,2.9999988228887453,crsp,0.333
OPAD,2023-06-13,0.5207,8.37,0.071635,14.999990739253024,crsp,0.067
OTLY,2025-02-18,0.495,8.68,-0.123232,19.99999262673083,crsp_v2,0.05
PANW,2022-09-14,548.88,182.06,-0.004919,0.33333329715478804,crsp,3.0
PANW,2024-12-16,393.12,202.5,0.03022,0.4999998933333561,crsp,2.0
PATK,2024-12-16,134.59,88.25,-0.016457,0.6666664029210989,crsp,1.5
PCSA,2024-01-22,0.225,2.505,-0.443333,19.999988023959265,crsp,0.05
PCSA,2025-12-17,0.1202,6.68,1.222962,24.99999696856324,crsp_v2,0.04
PHUN,2024-02-27,0.176,8.29,-0.057955,50.000024125463995,crsp,0.02
PIXY,2022-09-01,0.1401,20.58,0.468949,100.00011909635174,crsp,0.01
PIXY,2023-10-16,0.7136,13.51,-0.211159,23.999988448739828,crsp,0.042
PIXY,2024-10-14,0.65,9.66,-0.00923,14.999988354046307,crsp,0.067
PLUS,2021-12-14,108.03,52.49,-0.028233,0.5000000523433089,crsp,2.0
PPSI,2024-12-17,6.115,4.29,-0.053148,0.7409326450463994,crsp,1.35
PRE,2023-11-14,0.36,5.3801,-0.003684,14.99998215648672,crsp,0.067
PSFE,2022-12-13,1.21,13.51,-0.06956,12.000009948194776,crsp,0.083
PSTV,2023-05-01,0.2598,3.99,0.023865,14.999992838349286,crsp,0.067
PSTV,2026-01-02,0.5123,14.0,0.0980392156862746,24.887761077493657,yahoo,0.04
PTE,2022-05-17,0.1706,2.97,-0.303634,24.999991666669445,crsp,0.04
PTPI,2022-12-01,0.4111,4.3,0.045975,9.999992500005623,crsp,0.1
PXMD,2023-10-31,0.1658,3.15,0.117576,17.000001545650935,crsp,0.059
QLGN,2022-11-23,0.171,1.8,0.052632,9.9999960000016,crsp,0.1
QLGN,2024-11-05,0.1011,5.08,0.004945,50.000029773639774,crsp,0.02
