escenario,replica,HR_D,lo_D,hi_D,HR_B,HR_silencio
volumen: venta degradada en bajo,13,0.803223361239749,0.5982586586123795,1.0784094116376075,0.6854670273009302,1.988967905331435
volumen: venta degradada en bajo,14,0.9536533302579175,0.7056893876550681,1.2887464233152766,0.729725642669048,1.9787056932150175
volumen: venta degradada en bajo,15,0.8989841154822279,0.6718720953613232,1.2028665060940509,0.6836421104796779,1.9888709369571052
volumen: venta degradada en bajo,16,0.9980614567654201,0.7371807857590764,1.3512651044682333,0.7296596347399453,2.031475063982044
volumen: venta degradada en bajo,17,0.8560882669336916,0.6333468115788463,1.157165564557821,0.7503521840595317,2.213650155360154
volumen: venta degradada en bajo,18,1.0435857873244192,0.7692862152408331,1.415690641440368,0.7274180904599037,1.9798478207546957
volumen: venta degradada en bajo,19,0.9316830070989978,0.6951654455094692,1.2486714224998214,0.7217402030215859,2.1324746394157046
volumen: venta degradada en bajo,20,0.8510138823266598,0.6411343241043295,1.1295989010172591,0.648920651792015,1.9296918603329207
volumen: compra degradada en bajo,1,1.1121628455930002,0.8640880237943905,1.4314585563702256,0.7683176768949119,2.23381815210613
volumen: compra degradada en bajo,2,1.0419612280092583,0.8080926979482479,1.343513192769985,0.7774081703256381,2.2428189267532437
volumen: compra degradada en bajo,3,1.0780584052421514,0.835211904799981,1.3915150376018406,0.7981598916505542,2.2604370721452307
volumen: compra degradada en bajo,4,1.0510868670407836,0.8175724219873607,1.351297539342257,0.7320155703564215,2.2882379379029163
volumen: compra degradada en bajo,5,1.1231595553831402,0.869995521058241,1.4499929669913831,0.7971536995718512,2.2953452441868882
volumen: compra degradada en bajo,6,1.0552327808199777,0.8196455527154224,1.358533841888204,0.7493709880889083,2.211221520812004
volumen: compra degradada en bajo,7,1.0410782121492124,0.8083664243931556,1.3407828567662827,0.736471166585165,2.2846885233413583
volumen: compra degradada en bajo,8,1.1612844428471996,0.8986950662098847,1.5005997116311949,0.7824150985080074,2.410794114358802
volumen: compra degradada en bajo,9,1.2370158095790977,0.9505975747787654,1.6097328183324675,0.8194030813712766,2.3405544023546088
volumen: compra degradada en bajo,10,1.1802751075025582,0.9142037576612488,1.5237842961332029,0.7579473028567033,2.2692404922755034
volumen: compra degradada en bajo,11,1.2025562026048808,0.9282865372438401,1.5578610293295703,0.8028783110923264,2.3148381011134753
