replica,C_P0,C_P1,C_P2,dC_P2_P0,dC_P2_P1
81,0.5828478969028096,0.5855614323406817,0.6027669340409304,0.01991903713812082,0.017205501700248704
82,0.5915377865754006,0.5951404685565845,0.6109463867137414,0.01940860013834078,0.015805918157156817
83,0.5913127657473333,0.5959089688899151,0.6046590714682119,0.013346305720878582,0.008750102578296781
84,0.5744576440852055,0.5747599093349223,0.5976574080718594,0.02319976398665391,0.02289749873693714
85,0.590171408512205,0.5941070118810129,0.6059901652725098,0.015818756760304864,0.011883153391496926
86,0.5967078927099753,0.6004836398632842,0.605994150998332,0.009286258288356719,0.0055105111350477465
87,0.5793921426497286,0.5813386301738876,0.6065915540689772,0.027199411419248642,0.025252923895089596
88,0.5902451520462161,0.5919898160146595,0.6093408381237263,0.01909568607751022,0.017351022109066805
89,0.5930340475659107,0.6025778530843305,0.6138810585000466,0.02084701093413588,0.011303205415716056
90,0.5926079326768089,0.5945919428582641,0.6157979351156486,0.02319000243883973,0.02120599225738451
91,0.5919107057480104,0.5950052709224919,0.6168901995932398,0.02497949384522935,0.021884928670747872
92,0.5858137723979768,0.5871120614181815,0.6121582204329623,0.02634444803498548,0.0250461590147808
93,0.5834695206256081,0.5846516799683977,0.5983196658351561,0.014850145209547971,0.013667985866758325
94,0.5891106665900359,0.5915175285998848,0.6047125152619162,0.015601848671880303,0.013194986662031338
95,0.5832273741602598,0.5868201378599968,0.6052931439855677,0.022065769825307835,0.0184730061255709
96,0.5946376858517072,0.5964421516888088,0.6123823194005259,0.017744633548818722,0.015940167711717135
97,0.5811489912449838,0.5839399790944206,0.5996298954077125,0.01848090416272874,0.015689916313291863
98,0.5922165882724157,0.592220257270119,0.6017471767062674,0.009530588433851683,0.009526919436148473
99,0.577226714801444,0.5796093862815884,0.5960981949458484,0.018871480144404318,0.016488808664259946
100,0.5895684544286752,0.5909149855440627,0.6018572619381258,0.012288807509450606,0.010942276394063088
