especificacion,covariable,nombre,coef,HR,se_conv,lo_conv,hi_conv,p_conv,replicas_ticker,se_boot_ticker,HR_boot_mediana_ticker,lo_boot_ticker,hi_boot_ticker,razon_se_ticker,excluye_1_ticker,replicas_calendario,se_boot_calendario,HR_boot_mediana_calendario,lo_boot_calendario,hi_boot_calendario,razon_se_calendario,excluye_1_calendario
I2-tv,log1p_n_lag,log(1+mensajes) (t-1),0.6908198629186197,1.995350776925296,0.06166816852980688,1.7681830140770847,2.2517039759340265,3.9768045826754295e-29,200,0.0906857988905201,2.0160331576033363,1.7272222541300652,2.416307219862359,1.4705447081128695,1,200,0.08506959686379,2.002624877955763,1.7157382233894398,2.352016611652901,1.3794733797335361,1
I2-tv,log_z_inicio,log z del encendido,0.6580637501072568,1.9310497174421846,0.10677381905166694,1.5664171012341548,2.38056198971242,7.130899626867489e-10,200,0.10824525723186744,1.9343690370035154,1.571626193345788,2.3441202774131247,1.0137808892972957,1,200,0.11959109222610119,1.8620062312396644,1.4742502094402832,2.3459689493858353,1.1200413480408722,1
I2-tv,log_base_previa,log base previa,-0.13927279334917667,0.8699906684164134,0.0775709609383481,0.747284669306267,1.012845297407589,0.07258611324092332,200,0.11375846462433711,0.8756359831445696,0.7267292621344471,1.093825678706198,1.466508384687282,0,200,0.09867912130501096,0.8732303559708391,0.7343310678522226,1.0596125517533084,1.2721142049979142,0
I2-tv,log_amplitud,log amplitud,-0.15294169149563708,0.8581797595308202,0.09012214785051774,0.7192272872049036,1.0239774168336853,0.08968741672419754,200,0.0978170362944949,0.8655346334186955,0.7101965188051182,1.0423261956303194,1.0853828789870874,0,200,0.11263020909519782,0.8592727109365543,0.7032670211678754,1.078940674250933,1.2497506082745982,0
I2-tv,log_vol_ratio,log razon de volumen,0.015250275246600086,1.0153671540831184,0.025109320652329577,0.9666071825054635,1.0665867958052586,0.5436152449627495,200,0.027176526880923233,1.0150911587925564,0.9683704555867851,1.0735440396828033,1.0823282420586662,0,200,0.03196500790375785,1.0280553158492725,0.9698482438002025,1.0899609681550952,1.2730335617738913,0
I2-tv,ret_encendido_pico,Retorno encendido-pico,-0.12671335739917097,0.8809861645734575,0.024944775964489147,0.8389499573431187,0.925128627013473,3.7792137857287004e-07,200,0.030561775734106855,0.8780152100808949,0.8183478545102945,0.9256071651088985,1.2251773989717907,1,200,0.03330097187674627,0.8750644058662529,0.8076020707993334,0.9253364091089146,1.334987811642519,1
I2-tv,desacoplado,Desacoplado,-0.5837016670895047,0.5578296404383287,0.1436310520852644,0.4209617282345941,0.7391976203075251,4.826032257693272e-05,200,0.16506010371773341,0.5611835735831747,0.390515290468599,0.7542487578368378,1.1491951170819803,1,200,0.17621961172095116,0.5467965201266399,0.39799168198953494,0.7735536041944081,1.2268907674389313,1
I2-tv,d_duro_lag_x_logt,d_duro_lag_x_logt,-0.44336810095864215,0.6418708903062005,0.09906438310647302,0.5285960634321073,0.7794198033701235,7.621305478940913e-06,200,0.1145019128868545,0.6396757933640544,0.5129419912708978,0.7848876465332236,1.15583330048893,1,200,0.08772693667397127,0.647863516203527,0.53580894119859,0.7549719200405265,0.885554766738754,1
I2-tv,sin_direccion_lag_x_logt,sin_direccion_lag_x_logt,-0.10480023044682757,0.9005043979800682,0.11262666457300458,0.7221340902908611,1.1229329589672572,0.35210712206249994,200,0.1385025818125557,0.8888165874951728,0.6680741923122261,1.1352396845328097,1.2297494766239692,0,200,0.10017849774162355,0.9051556606617247,0.7457926099172351,1.0700419584299883,0.8894740701185186,0
I2-tv,log1p_n_lag_x_logt,log1p_n_lag_x_logt,-0.11015686156811118,0.8956936243699684,0.02470822861649328,0.8533511941269,0.9401370435273646,8.260963994146192e-06,200,0.03628146133019406,0.8949443581939961,0.8297335948621639,0.9515692980372774,1.468395889213013,1,200,0.03570156014046963,0.899300210653557,0.8433323444331362,0.9631737328831002,1.4449259270912713,1
I2-tv,log_z_inicio_x_logt,log_z_inicio_x_logt,-0.19260701743870817,0.8248060448499427,0.04724306874449473,0.7518625652603381,0.9048262848216747,4.5632839970566504e-05,200,0.04622443852395549,0.8250590310733192,0.7566433816119696,0.8990085913487624,0.9784385255316858,1,200,0.061518374334804844,0.840891000457451,0.7484161067387047,0.932226483321516,1.3021671955205838,1
I2-tv,log_base_previa_x_logt,log_base_previa_x_logt,-0.06486227662381067,0.9371965283596055,0.03086665384670221,0.882179431592117,0.9956447649024349,0.03560845318403888,200,0.041719802913452474,0.9364168618468731,0.8607866545315002,1.010846684628862,1.351614046687792,0,200,0.041732312670236665,0.9298074699566452,0.8589826993919768,1.0077191063707183,1.352019330553232,0
I2-tv,log_amplitud_x_logt,log_amplitud_x_logt,-0.03190072395435671,0.9686027363556751,0.03515814804511389,0.9041053137303804,1.0377013016378378,0.3642220671172749,200,0.03525995589152289,0.9695081623903438,0.9045883005983633,1.0427601597052376,1.0028957112950991,0,200,0.06126952641107177,0.9575292544098922,0.8533307486519711,1.0745511136137007,1.7426835546756483,0
I2-tv,desacoplado_x_logt,desacoplado_x_logt,0.09248044346914872,1.09689168995437,0.060519611625776605,0.9742027686160074,1.2350317800884805,0.12648596841643753,200,0.06788354210601906,1.0951926758886685,0.970377843326472,1.2538994746776138,1.1216784160112818,0,200,0.06810514385867815,1.1045468034341326,0.9555307855690587,1.2477948345269927,1.1253400679404013,0
