covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),modelo
d_x_tasa_glob,-0.2607695995403691,0.770458413139513,0.0868361152527316,-0.43096525799309227,-0.09057394108764591,0.6498814885697134,0.9134067931122182,0.0,-3.0030085844053933,0.002673248907618701,8.547190110729158,I2 + tasa global + D x tasa
b_duro_lag,-0.1679538808056876,0.8453928226214625,0.04274444046546952,-0.25173144465732433,-0.08417631695405084,0.777453499326642,0.9192691590672378,0.0,-3.929256740215531,8.52088264139432e-05,13.518637593703057,I2 + tasa ponderada por comunidad (por sd)
d_duro_lag,0.571453195976381,1.7708385579970036,0.1328482100894752,0.311075488790399,0.831830903162363,1.3648922513623811,2.29752143098388,0.0,4.30154983338879,1.696076184967512e-05,15.847439499579181,I2 + tasa ponderada por comunidad (por sd)
sin_direccion_lag,0.5685995749446151,1.765792459095281,0.08707596409527033,0.3979338213987824,0.7392653284904478,1.4887455035521513,2.0943962558799654,0.0,6.529925690199732,6.580233042653905e-11,33.82307036503945,I2 + tasa ponderada por comunidad (por sd)
log1p_n_lag,0.44036283479529476,1.5532706969357248,0.020425317441077943,0.4003299482379842,0.48039572135260533,1.4923170037849443,1.6167140438928322,0.0,21.55965683596517,4.2978204769105505e-103,340.054988551796,I2 + tasa ponderada por comunidad (por sd)
log_z_inicio,0.312082179555847,1.3662669676286465,0.03783148193748895,0.23793383747659108,0.3862305216351029,1.2686252546000545,1.4714238267483224,0.0,8.249271864938246,1.5936252095198095e-16,52.47853714353964,I2 + tasa ponderada por comunidad (por sd)
log_base_previa,-0.31620706275315213,0.7289085047387879,0.024672906537824484,-0.36456507096121094,-0.26784905454509333,0.6944986428278495,0.765023249170315,0.0,-12.815963221373815,1.3347054115570652e-37,122.49481815707253,I2 + tasa ponderada por comunidad (por sd)
log_amplitud,-0.30009833465512364,0.7407453761591071,0.027829716319522163,-0.3546435763413537,-0.2455530929688936,0.7014234025556128,0.7822717495622663,0.0,-10.783377423240523,4.1245778179685446e-27,87.64781210589587,I2 + tasa ponderada por comunidad (por sd)
log_vol_ratio,-0.023765221388412052,0.9765149476703858,0.023474331810297,-0.06977406629773711,0.022243623520913,0.932604502892944,1.0224928574392271,0.0,-1.0123918150457196,0.31135075030283993,1.6833873390160599,I2 + tasa ponderada por comunidad (por sd)
ret_encendido_pico,-0.0011299250214859154,0.9988707131034241,0.0021346014305376687,-0.0053136669466874245,0.0030538169037155932,0.9947004256094238,1.0030584845527288,0.0,-0.5293377046043237,0.5965712042290965,0.7452337526793602,I2 + tasa ponderada por comunidad (por sd)
desacoplado,-0.36030184989100894,0.6974657643286652,0.04423736950200857,-0.4470055008857363,-0.27359819889628156,0.6395403902265143,0.7606376389117095,0.0,-8.144739480376419,3.8009937872013636e-16,51.22447285110923,I2 + tasa ponderada por comunidad (por sd)
tasa_pond_z,0.07652662270753867,1.0795309299908282,0.020754572559187164,0.03584840797700853,0.11720483743806881,1.0364987096446554,1.1243497150193211,0.0,3.6872174789098993,0.00022671958533181886,12.10680335485535,I2 + tasa ponderada por comunidad (por sd)
b_duro_lag,-0.1801196033250933,0.8351703162906492,0.04233982931298427,-0.2631041438901157,-0.09713506276007086,0.7686618417082026,0.9074334373915881,0.0,-4.254140988467716,2.098530534852738e-05,15.540261018999445,I2 + tasa ponderada + D x tasa
d_duro_lag,0.5172724807705291,1.677446137860943,0.13276748243203487,0.25705299688568645,0.7774919646553717,1.2931136559400245,2.1760079112141875,0.0,3.8960781005644702,9.77628753029816e-05,13.320353757566268,I2 + tasa ponderada + D x tasa
sin_direccion_lag,0.5940839116276135,1.8113708089244624,0.08719311546755759,0.4231885456113583,0.7649792776438687,1.52682214444398,2.1489498428898677,0.0,6.813426822082731,9.530084641222629e-12,36.61064811119415,I2 + tasa ponderada + D x tasa
log1p_n_lag,0.4409668168305792,1.5542091279018024,0.020420935703489435,0.4009425183211318,0.4809911153400266,1.4932314325833038,1.6176769123285402,0.0,21.59385951914186,2.0514494224666654e-103,341.12195018770603,I2 + tasa ponderada + D x tasa
log_z_inicio,0.31430632429022376,1.369309124955467,0.03780346544795385,0.24021289352142988,0.38839975505901764,1.2715198198405027,1.4746191529452561,0.0,8.31421988872811,9.235776948114543e-17,53.26554428186733,I2 + tasa ponderada + D x tasa
