ticker,fecha_inicio,fecha_fin,duracion_dias,causa
NVDA,2022-07-01,2022-07-03,3,episodio sin dos sesiones bursatiles (fin de semana o feriado)
MEGL,2022-08-05,2022-08-15,11,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
BACK,2022-08-08,2022-08-26,19,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
GCT,2022-08-18,2022-08-22,5,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
RUM,2022-09-19,2022-09-21,3,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
RDDT,2024-03-21,2024-04-04,15,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
DJT,2024-03-26,2024-04-01,7,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
DXYZ,2024-03-27,2024-04-09,14,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
KDLY,2024-05-31,2024-08-29,91,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
SEGG,2025-01-07,2025-04-25,109,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
CRWV,2025-03-27,2025-04-02,7,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
NMAX,2025-03-31,2025-04-02,3,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
CCAQ,2025-04-21,2025-05-23,33,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
BRK,2025-05-03,2025-05-05,3,episodio sin dos sesiones bursatiles (fin de semana o feriado)
CRCL,2025-06-05,2025-06-30,26,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
NKLR,2025-10-10,2025-10-22,13,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
CVX,2026-01-03,2026-01-05,3,episodio sin dos sesiones bursatiles (fin de semana o feriado)
VCX,2026-03-19,2026-03-27,9,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
GLND,2026-03-26,2026-04-17,23,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
BRK,2026-05-02,2026-05-18,17,hueco de precios en los 30 dias previos
CBRS,2026-05-11,2026-05-14,4,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
OTAI,2026-05-15,2026-06-17,34,"simbolo con menos de 30 dias de cotizacion al encender (OPI, SPAC o renombre): sin 5 sesiones previas"
