fecha,A,AA,AAC,AACG,AACI,AACQ,AACT,AADI,AAGR,AAIC,AAL,AAM,AAMC,AAME,AAN,AAOI,AAON,AAP,AAPL,AAQC,GME,AMC,TSLA,RDDT,NVDA,TWTR,NOK,PLTR,MSFT,AMD,BBBY,INTC,NFLX,HOOD,SPCE,SNDL,NIO,RKT,BABA
2023-09-14,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,811,0,511,70,346,0,230,0,7,16,69,40,0,53,99,101,5,9,5,1,6
2023-09-15,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,326,0,488,59,445,0,258,0,3,14,47,46,0,12,47,103,3,6,9,1,6
2023-09-16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,409,18,204,0,88,0,2,10,52,16,0,12,22,50,1,1,1,0,18
2023-09-17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,248,8,209,0,63,0,1,7,48,34,0,113,26,65,6,4,2,0,14
2023-09-18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,263,0,392,27,465,0,280,0,8,17,43,56,0,56,29,42,4,1,13,2,8
2023-09-19,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,1,246,0,450,36,338,0,160,0,1,5,111,50,0,36,44,71,4,0,48,0,10
2023-09-20,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,217,0,461,40,395,0,218,0,1,10,96,32,0,42,36,87,2,4,18,0,6
2023-09-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,241,0,364,21,282,0,319,0,0,12,121,42,0,44,48,82,3,10,9,0,2
2023-09-22,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,194,0,398,29,297,0,225,0,0,18,66,39,0,25,24,62,3,2,1,1,22
2023-09-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,246,13,118,0,58,0,1,3,37,14,0,10,35,19,1,7,2,0,1
2023-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,237,7,107,0,41,0,2,2,38,14,0,6,17,67,0,5,1,1,2
2023-09-25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,0,334,33,178,0,166,0,3,8,63,14,0,7,38,55,0,34,7,0,5
2023-09-26,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,167,0,370,17,291,0,222,0,3,13,83,14,0,10,14,59,8,11,2,1,5
2023-09-27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,296,28,305,0,260,0,4,40,95,32,0,21,19,59,8,9,7,1,4
2023-09-28,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,213,0,846,20,290,0,244,0,2,76,63,69,0,16,27,57,6,4,5,0,6
2023-09-29,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,106,0,975,28,232,0,178,0,3,58,59,35,0,13,13,93,1,1,7,0,6
2023-09-30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,57,0,324,20,193,0,40,0,4,10,21,10,0,5,5,48,0,1,1,0,3
2023-10-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,274,18,251,0,23,0,4,4,13,10,0,1,18,42,0,1,1,0,0
2023-10-02,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,170,0,566,21,512,0,176,0,4,17,44,21,0,5,16,56,1,2,3,0,0
2023-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,124,0,664,12,286,0,186,0,1,9,82,25,0,19,111,46,0,0,1,1,7
